Instance File,Runs,Successes,Success Rate (%),Avg Time,Std Dev Time,Avg Cycles
inst25x25_50_69.txt,100,61,61.00,7.50624479,21.77206847,3129.23
inst25x25_50_82.txt,100,89,89.00,0.89587779,2.11322245,390.11
inst25x25_40_50.txt,100,94,94.00,1.23149210,3.72311516,254.05
inst25x25_40_79.txt,100,99,99.00,1.64457756,5.79117016,326.97
inst25x25_50_1.txt,100,93,93.00,5.32079585,18.40004604,1963.26
inst25x25_50_83.txt,100,82,82.00,1.83043899,6.34458715,690.71
inst25x25_45_75.txt,100,87,87.00,1.91319102,9.19986379,506.23
inst25x25_45_77.txt,100,52,52.00,9.43731894,18.69456118,2204.88
inst25x25_45_63.txt,100,36,36.00,13.02206614,22.46135451,2412.94
inst25x25_45_88.txt,100,90,90.00,2.15124034,5.11918284,408.46
inst25x25_50_80.txt,100,78,78.00,1.73116549,8.94710651,543.77
inst25x25_50_94.txt,100,63,63.00,7.77261244,21.91990350,1900.40
inst25x25_50_57.txt,100,64,64.00,10.81054719,26.20027485,2744.22
inst25x25_45_89.txt,100,71,71.00,3.39861658,4.72089076,866.44
inst25x25_45_62.txt,100,86,86.00,4.04277751,13.13315023,1015.05
inst25x25_45_76.txt,100,97,97.00,2.97985192,13.02415148,567.10
inst25x25_45_72.txt,100,77,77.00,6.56043671,12.07812799,1305.55
inst25x25_45_99.txt,100,92,92.00,2.41021890,7.73146572,622.70
inst25x25_40_80.txt,100,99,99.00,0.47556664,0.87718257,87.69
inst25x25_40_57.txt,100,100,100.00,0.73683433,1.25580705,132.60
inst25x25_50_91.txt,100,52,52.00,4.02805585,11.44723334,1464.13
inst25x25_45_67.txt,100,88,88.00,4.36584516,15.66162080,1083.07
inst25x25_45_73.txt,100,97,97.00,0.94532677,2.71350297,255.26
inst25x25_45_65.txt,100,85,85.00,3.26325531,10.20055134,846.09
inst25x25_45_71.txt,100,95,95.00,2.02119522,5.42862187,515.52
inst25x25_45_59.txt,100,89,89.00,4.24566147,13.64429091,1119.81
inst25x25_50_44.txt,100,84,84.00,0.28041362,0.77948916,105.42
inst25x25_50_50.txt,100,75,75.00,2.80809004,10.33423003,973.07
inst25x25_50_93.txt,100,61,61.00,5.97412708,18.78047802,2457.51
inst25x25_50_92.txt,100,91,91.00,0.15368103,0.54879990,51.80
inst25x25_50_86.txt,100,81,81.00,3.57240878,14.55582841,545.46
inst25x25_50_51.txt,100,52,52.00,2.24022931,4.91263193,745.87
inst25x25_45_8.txt,100,82,82.00,1.27594867,1.86825071,327.91
inst25x25_45_58.txt,100,71,71.00,3.04947839,7.28410577,887.92
inst25x25_45_64.txt,100,88,88.00,3.09497287,9.95230495,802.64
inst25x25_45_17.txt,100,87,87.00,2.76028513,7.57144199,724.84
inst25x25_45_16.txt,100,80,80.00,3.82505593,11.82752174,855.49
