Instance File,Runs,Successes,Success Rate (%),Avg Time,Std Dev Time,Avg Cycles
16x16_02602.txt,100,95,95.00,0.40138845,1.72782995,475.21
16x16_02367.txt,100,99,99.00,0.88109824,3.14792876,1079.08
16x16_02561.txt,100,97,97.00,0.24116291,1.19589338,346.35
16x16_02978.txt,100,99,99.00,0.09709848,0.49363025,129.51
16x16_02985.txt,100,97,97.00,0.40615881,1.82488437,467.13
16x16_02563.txt,100,82,82.00,0.01091059,0.04321416,14.43
16x16_02205.txt,100,95,95.00,0.36764959,2.18990003,475.29
16x16_02211.txt,100,96,96.00,0.19121536,1.58136205,311.50
16x16_02371.txt,100,100,100.00,0.09869282,0.19799430,136.47
16x16_02370.txt,100,97,97.00,0.31250708,1.74565352,481.64
16x16_02943.txt,100,99,99.00,0.01007678,0.03085372,17.53
16x16_02572.txt,100,94,94.00,0.21337717,0.72796208,308.81
16x16_02214.txt,100,100,100.00,0.06144669,0.16087838,97.12
16x16_02228.txt,100,100,100.00,0.45600867,1.39082383,609.82
16x16_02374.txt,100,99,99.00,0.07461272,0.35621452,95.87
16x16_02349.txt,100,97,97.00,0.88221642,1.96676576,972.12
16x16_02407.txt,100,99,99.00,0.07122755,0.48303829,128.70
16x16_02567.txt,100,99,99.00,0.02651552,0.12090980,34.72
16x16_02940.txt,100,100,100.00,0.04226028,0.13442889,64.10
16x16_02571.txt,100,93,93.00,0.07813174,0.65062319,87.23
16x16_02203.txt,100,100,100.00,0.11270555,0.55356256,156.83
16x16_02405.txt,100,99,99.00,0.97422141,1.60556816,1164.04
16x16_02411.txt,100,99,99.00,0.10681480,0.29917310,149.17
16x16_02388.txt,100,100,100.00,0.21322719,0.43860710,376.72
16x16_02558.txt,100,98,98.00,0.22615773,0.80123074,399.55
16x16_02570.txt,100,100,100.00,0.41021884,0.55713109,452.78
16x16_02265.txt,100,99,99.00,0.16329265,1.58411680,213.17
16x16_02477.txt,100,100,100.00,0.17221977,0.64859504,221.24
16x16_02338.txt,100,100,100.00,0.02003882,0.03734077,24.31
16x16_02933.txt,100,99,99.00,0.26765013,1.85497810,422.70
16x16_02448.txt,100,96,96.00,0.21911761,0.41337871,309.86
16x16_02851.txt,100,93,93.00,1.20145333,3.39589775,1677.65
16x16_02475.txt,100,100,100.00,0.07580196,0.31774071,102.14
16x16_02449.txt,100,100,100.00,0.00497235,0.01158342,5.59
16x16_02924.txt,100,95,95.00,0.02663154,0.08563819,37.59
16x16_02288.txt,100,100,100.00,0.05287370,0.07403622,70.27
16x16_02471.txt,100,99,99.00,0.04677517,0.09881768,67.23
16x16_02935.txt,100,99,99.00,0.14032039,1.29361589,248.65
16x16_02300.txt,100,99,99.00,0.01754101,0.03585618,27.94
16x16_02314.txt,100,100,100.00,0.01769755,0.02964640,22.44
16x16_02467.txt,100,93,93.00,0.34871183,2.07797772,590.35
16x16_02507.txt,100,97,97.00,0.21686484,1.40456422,335.98
16x16_02536.txt,100,97,97.00,0.03594174,0.22416108,54.49
16x16_02522.txt,100,95,95.00,0.24577704,1.19602757,301.17
16x16_02456.txt,100,88,88.00,0.03061522,0.11320872,40.62
16x16_02330.txt,100,98,98.00,0.02727927,0.13629565,39.24
16x16_02669.txt,100,100,100.00,0.39183088,1.72938361,506.86
16x16_02443.txt,100,99,99.00,0.25498967,0.39701451,267.84
16x16_02292.txt,100,93,93.00,0.31054447,1.52181830,416.87
16x16_02251.txt,100,100,100.00,0.05985145,0.25065707,89.34
16x16_02904.txt,100,99,99.00,0.86348049,3.05562594,1044.98
16x16_02910.txt,100,100,100.00,0.09227295,0.22046184,124.09
16x16_02333.txt,100,100,100.00,0.00307117,0.00282774,3.55
16x16_02483.txt,100,100,100.00,0.17201791,0.53274164,241.08
16x16_02454.txt,100,79,79.00,0.65615068,2.61661127,944.34
16x16_02468.txt,100,99,99.00,0.14159658,0.62656108,180.16
16x16_02291.txt,100,100,100.00,0.00745828,0.01007292,9.10
16x16_02534.txt,100,99,99.00,0.01402704,0.09880417,21.67
16x16_02256.txt,100,91,91.00,0.30038491,1.27970654,370.14
16x16_02281.txt,100,91,91.00,0.18788996,1.44612274,277.45
16x16_02478.txt,100,100,100.00,0.10219031,0.82447415,142.76
16x16_02875.txt,100,100,100.00,0.06993046,0.35553951,77.26
16x16_02451.txt,100,100,100.00,0.08528563,0.68577003,144.11
16x16_02280.txt,100,100,100.00,0.02888542,0.08521079,36.28
16x16_02525.txt,100,85,85.00,0.40424821,0.77011668,504.64
16x16_02733.txt,100,98,98.00,0.23967005,1.42376844,336.38
16x16_02686.txt,100,100,100.00,0.67737388,0.77516180,814.91
16x16_02862.txt,100,92,92.00,1.13126160,1.88226933,1226.70
16x16_02491.txt,100,100,100.00,0.00762155,0.00752638,7.80
16x16_02452.txt,100,99,99.00,0.04431462,0.06947116,42.94
16x16_02446.txt,100,100,100.00,0.00243988,0.00184535,2.33
16x16_02297.txt,100,99,99.00,0.26262701,0.74276416,257.47
16x16_02526.txt,100,95,95.00,0.91084194,2.66472603,802.47
16x16_02964.txt,100,99,99.00,0.07525041,0.32974521,70.59
