Instance File,Runs,Successes,Success Rate (%),Avg Time,Std Dev Time,Avg Cycles
inst25x25_40_80.txt,100,99,99.00,1.39340974,8.96019333,166.24
inst25x25_40_30.txt,100,100,100.00,2.63131356,8.44368926,343.26
inst25x25_40_57.txt,100,99,99.00,2.14203701,8.84850213,296.45
inst25x25_40_10.txt,100,98,98.00,1.81960838,9.15008339,225.66
inst25x25_40_62.txt,100,98,98.00,1.97440921,4.11362817,262.02
inst25x25_40_9.txt,100,99,99.00,0.92835994,1.43182714,140.89
inst25x25_40_99.txt,100,100,100.00,1.66830752,3.81253246,253.88
inst25x25_40_50.txt,100,97,97.00,1.81106264,5.21671551,263.88
inst25x25_40_79.txt,100,99,99.00,5.44620838,17.38957050,806.24
inst25x25_40_89.txt,100,96,96.00,1.02419868,2.76778176,158.14
inst25x25_45_14.txt,100,96,96.00,1.52270692,4.95733181,297.39
inst25x25_45_17.txt,100,94,94.00,5.40566044,17.34357934,1039.27
inst25x25_45_18.txt,100,93,93.00,3.79174747,14.40432294,737.26
inst25x25_45_16.txt,100,89,89.00,2.65619722,5.60189629,521.60
inst25x25_45_11.txt,100,86,86.00,3.74570737,13.17495544,768.63
inst25x25_45_15.txt,100,88,88.00,8.86263649,18.61521399,1779.22
inst25x25_45_23.txt,100,91,91.00,2.65624799,5.08638479,509.27
inst25x25_45_2.txt,100,83,83.00,6.67763542,14.88831458,1272.16
inst25x25_45_19.txt,100,74,74.00,9.04180032,21.60399722,1779.05
inst25x25_45_29.txt,100,93,93.00,7.60723916,16.53033327,1244.80
inst25x25_45_26.txt,100,83,83.00,6.55734834,13.43192640,1176.64
inst25x25_45_21.txt,100,77,77.00,9.32232649,21.83851249,1613.22
inst25x25_45_32.txt,100,86,86.00,5.13550643,11.82961753,758.76
inst25x25_45_33.txt,100,88,88.00,7.33546713,19.72803753,1136.18
inst25x25_45_3.txt,100,81,81.00,7.52468531,17.04031349,1078.68
inst25x25_45_1.txt,100,46,46.00,15.85133276,22.05487873,2921.41
inst25x25_45_24.txt,100,58,58.00,11.15841216,22.87702108,1860.76
inst25x25_45_40.txt,100,96,96.00,1.59809303,4.08614162,245.48
inst25x25_45_37.txt,100,81,81.00,8.64666730,17.07152531,1274.88
inst25x25_45_36.txt,100,78,78.00,10.14600900,21.65174081,1521.56
inst25x25_45_41.txt,100,82,82.00,5.65156663,14.66936003,876.30
inst25x25_45_34.txt,100,57,57.00,11.24509560,21.45260834,1779.19
inst25x25_45_46.txt,100,93,93.00,3.57087878,10.56014658,649.71
inst25x25_45_52.txt,100,97,97.00,3.54214276,13.03374288,698.06
inst25x25_45_35.txt,100,57,57.00,12.14512421,21.82274954,1966.33
inst25x25_45_4.txt,100,71,71.00,9.43955290,23.52561203,1754.11
inst25x25_45_51.txt,100,89,89.00,3.00163444,12.63837124,618.34
inst25x25_45_59.txt,100,92,92.00,2.80804015,10.52591292,544.45
inst25x25_45_56.txt,100,87,87.00,5.14923775,13.20421354,910.08
inst25x25_45_57.txt,100,88,88.00,8.16601281,20.64072300,1535.44
inst25x25_45_54.txt,100,77,77.00,5.25659312,13.34002330,864.70
inst25x25_45_6.txt,100,83,83.00,6.49905405,15.74187825,1070.63
inst25x25_45_58.txt,100,81,81.00,9.52604275,17.77867436,1688.14
inst25x25_45_62.txt,100,88,88.00,6.34991335,14.80344714,1027.62
inst25x25_45_43.txt,100,52,52.00,17.28134017,23.12162609,2907.17
inst25x25_45_64.txt,100,88,88.00,3.98730165,11.74770229,646.23
inst25x25_45_71.txt,100,93,93.00,4.03094063,12.74429892,782.73
inst25x25_45_67.txt,100,87,87.00,4.69198007,14.07170566,859.33
inst25x25_45_65.txt,100,83,83.00,4.76535424,14.95002095,891.41
inst25x25_45_76.txt,100,98,98.00,2.52770428,9.12253365,518.49
inst25x25_45_73.txt,100,95,95.00,4.15748475,14.67351634,844.15
inst25x25_45_7.txt,100,83,83.00,5.47791871,17.01580342,1031.60
inst25x25_45_75.txt,100,89,89.00,2.45451416,7.45953071,488.65
inst25x25_45_72.txt,100,83,83.00,7.11487734,14.89330600,1392.92
inst25x25_45_69.txt,100,74,74.00,6.08445103,13.93268668,1195.19
inst25x25_45_83.txt,100,97,97.00,2.87434648,10.16721696,441.28
inst25x25_45_8.txt,100,83,83.00,4.02768537,13.31657150,624.14
inst25x25_45_84.txt,100,89,89.00,4.37890817,13.53776127,691.93
inst25x25_45_85.txt,100,82,82.00,7.18923513,14.58481760,1078.07
inst25x25_45_86.txt,100,84,84.00,5.28157737,11.39751531,766.81
inst25x25_45_82.txt,100,75,75.00,11.70259284,23.54536076,1969.57
inst25x25_45_88.txt,100,92,92.00,5.79166557,17.57302098,910.07
inst25x25_45_63.txt,100,42,42.00,23.29345979,28.05806477,3968.36
inst25x25_45_87.txt,100,86,86.00,3.05819658,11.45379438,537.15
inst25x25_45_96.txt,100,98,98.00,3.40531787,11.75203976,655.28
inst25x25_45_90.txt,100,94,94.00,5.87859641,17.18737641,1165.78
inst25x25_45_92.txt,100,92,92.00,2.21089392,7.98555796,458.68
inst25x25_50_1.txt,100,96,96.00,1.60325207,8.21489895,437.19
inst25x25_45_89.txt,100,85,85.00,7.17756288,18.64857663,1389.76
inst25x25_45_99.txt,100,92,92.00,4.63555663,14.34249742,950.20
inst25x25_45_77.txt,100,50,50.00,9.21901290,17.26850734,1571.96
inst25x25_50_11.txt,100,84,84.00,1.06763727,4.56808521,335.63
inst25x25_50_16.txt,100,89,89.00,3.30036773,16.25343792,895.61
inst25x25_50_14.txt,100,85,85.00,3.57836755,10.17618311,1245.93
inst25x25_45_93.txt,100,70,70.00,7.43345766,17.14801433,1497.81
inst25x25_50_21.txt,100,91,91.00,2.36546558,12.36747895,848.34
inst25x25_50_29.txt,100,92,92.00,3.00302408,9.08506131,792.48
inst25x25_50_17.txt,100,65,65.00,0.91760517,2.89126781,299.97
inst25x25_45_95.txt,100,52,52.00,10.73835798,19.32555249,2142.73
inst25x25_50_34.txt,100,84,84.00,4.43195200,12.88481101,1138.29
inst25x25_50_44.txt,100,80,80.00,1.42288839,7.76261318,400.90
