Instance File,Runs,Successes,Success Rate (%),Avg Time,Std Dev Time,Avg Cycles
inst25x25_40_80.txt,100,100,100.00,0.65549716,0.83742117,91.90
inst25x25_40_10.txt,100,100,100.00,0.86442234,1.22260712,120.08
inst25x25_40_57.txt,100,100,100.00,1.21001064,1.50174934,165.54
inst25x25_40_79.txt,100,100,100.00,1.27156327,1.63929021,178.19
inst25x25_40_89.txt,100,100,100.00,0.91188425,1.18414423,132.19
inst25x25_40_30.txt,100,100,100.00,1.81550982,2.50388162,251.04
inst25x25_40_99.txt,100,100,100.00,1.01615057,1.18187544,144.89
inst25x25_40_50.txt,100,100,100.00,2.33545155,2.89538720,324.36
inst25x25_40_62.txt,100,100,100.00,2.48104366,2.82138426,353.48
inst25x25_45_14.txt,100,100,100.00,0.75331980,2.03096166,134.85
inst25x25_40_9.txt,100,100,100.00,1.80873943,2.61490537,256.79
inst25x25_45_18.txt,100,100,100.00,1.20901468,1.76782587,214.76
inst25x25_45_17.txt,100,100,100.00,1.72291627,2.10544034,306.03
inst25x25_45_11.txt,100,100,100.00,2.74797179,5.12555793,501.33
inst25x25_45_16.txt,100,100,100.00,2.43124997,4.01210454,424.58
inst25x25_45_19.txt,100,100,100.00,3.13012221,4.12742499,580.46
inst25x25_45_15.txt,100,100,100.00,3.79175463,4.73658471,688.14
inst25x25_45_23.txt,100,100,100.00,2.44800563,2.83480404,423.12
inst25x25_45_2.txt,100,100,100.00,4.12994222,11.73700831,737.72
inst25x25_45_29.txt,100,100,100.00,2.43560346,2.92611045,428.33
inst25x25_45_21.txt,100,100,100.00,4.66858759,7.90556696,798.37
inst25x25_45_26.txt,100,100,100.00,4.20659728,6.08382454,757.65
inst25x25_45_32.txt,100,100,100.00,2.23991748,3.58476961,386.18
inst25x25_45_3.txt,100,100,100.00,3.65317957,4.09261179,625.89
inst25x25_45_33.txt,100,100,100.00,2.27831299,2.41588232,412.29
inst25x25_45_36.txt,100,100,100.00,3.60290478,4.14296505,636.91
inst25x25_45_37.txt,100,100,100.00,3.41349468,4.29265541,598.52
inst25x25_45_40.txt,100,100,100.00,1.58407074,2.59186620,280.65
inst25x25_45_4.txt,100,99,99.00,4.24109245,4.62935135,784.35
inst25x25_45_24.txt,100,100,100.00,11.42412713,12.25621086,2077.13
inst25x25_45_41.txt,100,100,100.00,2.55104288,3.23281784,447.20
inst25x25_45_46.txt,100,100,100.00,1.00193987,1.68420094,180.26
inst25x25_45_52.txt,100,100,100.00,1.11253626,1.66040487,196.60
inst25x25_45_51.txt,100,100,100.00,1.86559660,4.48037784,348.54
inst25x25_45_34.txt,100,99,99.00,9.09840020,10.00559398,1663.09
inst25x25_45_56.txt,100,100,100.00,3.46953202,4.74902348,626.31
inst25x25_45_57.txt,100,100,100.00,4.08316341,4.93018669,735.23
inst25x25_45_54.txt,100,100,100.00,5.24566066,12.74380348,924.92
inst25x25_45_59.txt,100,100,100.00,1.56050675,1.72751432,278.57
inst25x25_45_1.txt,100,96,96.00,17.20794780,21.50752588,3056.92
inst25x25_45_58.txt,100,100,100.00,3.55448335,4.57123644,671.17
inst25x25_45_35.txt,100,100,100.00,13.72807336,16.57440487,2525.73
inst25x25_45_64.txt,100,100,100.00,1.76437675,1.97223143,315.02
inst25x25_45_62.txt,100,100,100.00,2.04545037,2.63124579,385.94
inst25x25_45_6.txt,100,100,100.00,3.20216380,4.53160615,577.07
inst25x25_45_65.txt,100,100,100.00,2.96481776,4.27358275,515.88
inst25x25_45_67.txt,100,100,100.00,2.33937672,2.80725262,415.74
inst25x25_45_71.txt,100,100,100.00,1.70956769,2.33402546,298.96
inst25x25_45_7.txt,100,100,100.00,2.97479379,3.81640889,515.29
inst25x25_45_73.txt,100,100,100.00,1.57652466,3.53783068,279.81
inst25x25_45_76.txt,100,100,100.00,1.05205583,1.61409901,194.00
inst25x25_45_75.txt,100,100,100.00,1.78409519,2.45292699,311.47
inst25x25_45_43.txt,100,98,98.00,12.80099552,15.33882451,2358.81
inst25x25_45_83.txt,100,100,100.00,0.81606173,1.00904570,145.63
inst25x25_45_72.txt,100,100,100.00,5.56449802,5.86168164,984.66
inst25x25_45_69.txt,100,98,98.00,5.08107053,8.52920861,925.48
inst25x25_45_8.txt,100,100,100.00,4.65137428,11.71683301,806.18
inst25x25_45_84.txt,100,100,100.00,2.52874566,3.56948948,456.24
inst25x25_45_85.txt,100,100,100.00,3.28801706,3.81589431,588.79
inst25x25_45_86.txt,100,100,100.00,2.89904978,3.89167752,500.21
inst25x25_45_82.txt,100,100,100.00,5.81029132,7.69834169,1064.81
inst25x25_45_87.txt,100,100,100.00,1.70131765,2.28258159,301.20
inst25x25_45_88.txt,100,100,100.00,1.56140892,2.77215768,283.06
inst25x25_45_92.txt,100,100,100.00,1.23152391,2.05192507,227.88
inst25x25_45_90.txt,100,100,100.00,1.95721996,1.93937897,348.73
inst25x25_45_96.txt,100,100,100.00,1.38688093,2.03308170,241.24
inst25x25_45_99.txt,100,100,100.00,1.79421718,2.21142259,328.73
inst25x25_45_77.txt,100,100,100.00,12.28167422,16.58983116,2150.99
inst25x25_45_89.txt,100,100,100.00,5.60806944,6.66221305,976.68
inst25x25_45_93.txt,100,100,100.00,5.39968234,6.26601960,969.18
inst25x25_50_16.txt,100,100,100.00,1.78614316,5.41601039,398.18
inst25x25_50_11.txt,100,100,100.00,3.72285268,9.52326663,961.91
inst25x25_50_1.txt,100,100,100.00,5.99274677,17.06963375,1334.43
inst25x25_50_14.txt,100,98,98.00,3.42631637,8.57658698,927.64
inst25x25_50_21.txt,100,100,100.00,1.98130914,6.46510668,545.70
inst25x25_45_95.txt,100,98,98.00,11.72045989,16.92091631,2074.09
inst25x25_45_63.txt,100,92,92.00,18.63174378,23.97343944,3302.33
inst25x25_50_34.txt,100,100,100.00,3.51896589,6.57609780,729.20
inst25x25_50_44.txt,100,100,100.00,3.64199726,11.72437061,792.43
inst25x25_50_29.txt,100,98,98.00,4.79511794,14.99679356,985.06
inst25x25_50_50.txt,100,94,94.00,5.09132519,12.48803452,823.60
inst25x25_50_17.txt,100,82,82.00,10.55073439,23.88523105,2321.07
inst25x25_50_57.txt,100,93,93.00,10.79284628,17.65503003,1832.76
inst25x25_50_71.txt,100,100,100.00,3.73269186,10.54061269,678.18
inst25x25_50_51.txt,100,93,93.00,18.16207852,23.12908074,3136.63
inst25x25_50_64.txt,100,97,97.00,10.34106909,22.36251677,2205.54
inst25x25_50_82.txt,100,100,100.00,1.87722895,3.52448641,355.49
inst25x25_50_80.txt,100,100,100.00,5.49626958,11.17145822,1097.04
inst25x25_50_86.txt,100,99,99.00,5.00319962,15.90585518,1034.28
inst25x25_50_9.txt,100,100,100.00,5.93178980,7.36195096,1120.64
inst25x25_50_83.txt,100,96,96.00,5.18712146,12.90708244,902.70
inst25x25_50_92.txt,100,98,98.00,3.13380840,11.10749999,673.18
inst25x25_50_26.txt,100,65,65.00,9.91244425,23.89097154,2119.22
inst25x25_50_69.txt,100,89,89.00,13.35248226,22.30548946,2517.53
inst25x25_50_93.txt,100,99,99.00,9.55457191,19.45677846,1796.49
inst25x25_50_99.txt,100,99,99.00,11.78958998,19.82629563,2535.79
inst25x25_45_97.txt,100,58,58.00,39.31244219,38.73007804,6015.53
inst25x25_50_94.txt,100,95,95.00,14.51971254,24.25171241,2810.09
inst25x25_50_18.txt,100,46,46.00,11.20021320,22.81333319,2294.87
inst25x25_50_91.txt,100,82,82.00,11.76020765,21.73330599,2343.54
