Instance File,Runs,Successes,Success Rate (%),Avg Time,Std Dev Time,Avg Cycles
inst25x25_40_10.txt,100,100,100.00,0.84460668,1.18504268,91.48
inst25x25_40_80.txt,100,100,100.00,1.26213770,1.75509753,133.94
inst25x25_40_79.txt,100,100,100.00,2.00031188,2.41225048,207.66
inst25x25_40_57.txt,100,100,100.00,2.20691110,2.47349338,224.02
inst25x25_40_30.txt,100,100,100.00,2.22526645,3.07395591,230.10
inst25x25_40_89.txt,100,100,100.00,1.65576474,2.68499300,177.99
inst25x25_40_50.txt,100,100,100.00,3.32335396,3.59990686,338.47
inst25x25_40_99.txt,100,100,100.00,1.40160599,1.85118662,148.54
inst25x25_40_62.txt,100,100,100.00,3.52090161,4.14565996,362.66
inst25x25_40_9.txt,100,100,100.00,2.61297203,2.99640344,273.68
inst25x25_45_14.txt,100,100,100.00,1.46656907,2.65295938,177.16
inst25x25_45_11.txt,100,100,100.00,3.33770491,5.22663627,401.74
inst25x25_45_18.txt,100,100,100.00,1.78326488,2.64591049,214.03
inst25x25_45_17.txt,100,100,100.00,2.33117599,2.74195847,276.36
inst25x25_45_16.txt,100,100,100.00,3.72033794,5.54171623,435.33
inst25x25_45_15.txt,100,100,100.00,5.64517718,5.97797571,671.95
inst25x25_45_19.txt,100,100,100.00,5.15806925,5.94172823,623.51
inst25x25_45_2.txt,100,100,100.00,4.33149067,6.11521511,510.53
inst25x25_45_23.txt,100,100,100.00,4.24156398,4.74531351,489.76
inst25x25_45_21.txt,100,100,100.00,5.43874327,7.51150363,623.39
inst25x25_45_32.txt,100,100,100.00,2.17698554,2.78228493,255.46
inst25x25_45_29.txt,100,100,100.00,4.28084856,4.87958067,500.49
inst25x25_45_33.txt,100,100,100.00,2.79043428,4.06924815,335.97
inst25x25_45_3.txt,100,100,100.00,5.11275400,8.14506667,583.42
inst25x25_45_26.txt,100,100,100.00,6.14895594,9.36101108,722.99
inst25x25_45_36.txt,100,100,100.00,5.23086114,5.07528777,609.85
inst25x25_45_37.txt,100,100,100.00,5.14361091,6.37254878,598.31
inst25x25_45_40.txt,100,100,100.00,1.66707284,2.99836121,200.84
inst25x25_45_4.txt,100,100,100.00,6.75463616,9.16571988,797.78
inst25x25_45_46.txt,100,100,100.00,2.27450945,3.87090335,270.65
inst25x25_45_41.txt,100,100,100.00,4.75395769,8.97010962,543.59
inst25x25_45_34.txt,100,100,100.00,13.50526691,18.30267980,1599.14
inst25x25_45_1.txt,100,99,99.00,22.74005045,25.45621926,2627.66
inst25x25_45_24.txt,100,100,100.00,18.99775325,18.59887565,2261.78
inst25x25_45_52.txt,100,100,100.00,1.52902654,1.96243535,184.17
inst25x25_45_51.txt,100,100,100.00,3.11546091,4.32861693,381.72
inst25x25_45_56.txt,100,100,100.00,3.74009763,4.88878062,448.57
inst25x25_45_59.txt,100,100,100.00,2.37376739,3.12078440,282.51
inst25x25_45_54.txt,100,100,100.00,5.14349622,5.94544103,604.95
inst25x25_45_57.txt,100,100,100.00,5.80025648,6.63483850,686.45
inst25x25_45_62.txt,100,100,100.00,2.77654284,4.77748686,339.54
inst25x25_45_58.txt,100,100,100.00,6.05145705,7.32955329,729.88
inst25x25_45_35.txt,100,98,98.00,18.42420491,20.82993181,2179.13
inst25x25_45_6.txt,100,100,100.00,5.02206312,5.52335879,597.25
inst25x25_45_64.txt,100,100,100.00,3.18397085,3.85730287,377.24
inst25x25_45_67.txt,100,100,100.00,3.29659898,4.84664765,386.82
inst25x25_45_65.txt,100,100,100.00,3.64578720,4.54170399,424.86
inst25x25_45_73.txt,100,100,100.00,1.18895927,2.27587953,146.21
inst25x25_45_71.txt,100,100,100.00,2.46697679,3.47886132,289.72
inst25x25_45_7.txt,100,100,100.00,3.27764645,4.19338932,383.54
inst25x25_45_43.txt,100,100,100.00,17.87466385,24.39692725,2121.10
inst25x25_45_76.txt,100,100,100.00,1.25082619,1.62837807,158.40
inst25x25_45_69.txt,100,100,100.00,5.50643981,10.31060693,656.39
inst25x25_45_75.txt,100,100,100.00,2.75545925,3.21910637,322.71
inst25x25_45_83.txt,100,100,100.00,1.49708658,2.53109420,179.79
inst25x25_45_8.txt,100,100,100.00,3.51766839,5.76424206,410.09
inst25x25_45_84.txt,100,100,100.00,2.85652337,4.70131761,342.98
inst25x25_45_72.txt,100,100,100.00,7.39690211,8.41656620,857.44
inst25x25_45_85.txt,100,100,100.00,4.03432616,4.66907739,476.92
inst25x25_45_82.txt,100,100,100.00,6.60160572,7.52328749,788.22
inst25x25_45_88.txt,100,100,100.00,2.33377446,3.30812822,278.43
inst25x25_45_87.txt,100,100,100.00,2.76236618,3.37441867,327.91
inst25x25_45_86.txt,100,100,100.00,4.16977367,4.09621066,484.33
inst25x25_45_92.txt,100,100,100.00,1.06105177,1.53405135,136.81
inst25x25_45_90.txt,100,100,100.00,3.11705318,4.29661355,371.64
inst25x25_45_96.txt,100,100,100.00,2.20888107,3.04498124,259.81
inst25x25_45_89.txt,100,100,100.00,5.14495546,6.36075613,598.17
inst25x25_45_77.txt,100,100,100.00,13.16197395,12.19723483,1530.16
inst25x25_45_99.txt,100,100,100.00,2.59043744,3.33816731,316.68
inst25x25_45_63.txt,100,95,95.00,17.49007113,19.40702004,2030.02
inst25x25_45_93.txt,100,100,100.00,8.34382799,12.99267666,976.14
inst25x25_50_14.txt,100,100,100.00,4.38433967,9.23579687,641.82
inst25x25_50_1.txt,100,100,100.00,6.93876381,19.67107577,909.43
inst25x25_50_11.txt,100,100,100.00,6.00313040,14.78469296,855.91
inst25x25_50_16.txt,100,100,100.00,4.48765732,13.37009050,586.67
inst25x25_50_21.txt,100,100,100.00,1.89914222,6.98426702,284.08
inst25x25_50_29.txt,100,100,100.00,5.19807560,15.64764125,665.57
inst25x25_50_34.txt,100,100,100.00,6.21121724,15.69241034,799.33
inst25x25_45_95.txt,100,100,100.00,19.12273886,25.56582134,2198.12
inst25x25_50_44.txt,100,100,100.00,5.41366255,15.86418931,718.24
inst25x25_50_50.txt,100,97,97.00,8.94336415,14.59639699,1136.56
inst25x25_50_57.txt,100,95,95.00,10.54838293,17.74866983,1382.57
inst25x25_50_17.txt,100,82,82.00,12.36995145,23.60089743,1727.52
inst25x25_50_71.txt,100,99,99.00,5.25355324,18.48280020,713.90
inst25x25_50_64.txt,100,97,97.00,14.40243145,24.22207120,2111.99
inst25x25_50_80.txt,100,100,100.00,5.05234786,11.85391014,728.76
