Instance File,Runs,Successes,Success Rate (%),Avg Time,Std Dev Time,Avg Cycles
inst25x25_40_80.txt,100,100,100.00,2.56440257,5.05765085,339.64
inst25x25_40_10.txt,100,100,100.00,2.93213550,4.42042865,390.29
inst25x25_40_57.txt,100,100,100.00,5.11604755,8.13132358,664.43
inst25x25_40_30.txt,100,100,100.00,6.56870233,9.23128868,867.71
inst25x25_40_89.txt,100,100,100.00,4.23583825,6.07762532,580.77
inst25x25_40_79.txt,100,100,100.00,6.99512126,7.78436129,935.88
inst25x25_45_14.txt,100,100,100.00,1.78246755,2.60102598,312.38
inst25x25_40_9.txt,100,100,100.00,5.88204612,7.78836876,798.61
inst25x25_40_50.txt,100,100,100.00,9.31340396,9.85199177,1231.71
inst25x25_40_99.txt,100,100,100.00,4.19208871,6.68617390,570.58
inst25x25_40_62.txt,100,100,100.00,10.73699248,13.29688206,1452.99
inst25x25_45_18.txt,100,100,100.00,3.32013753,4.12681455,569.77
inst25x25_45_11.txt,100,100,100.00,6.42572960,7.88486498,1153.42
inst25x25_45_16.txt,100,100,100.00,5.86877836,7.28119315,1013.07
inst25x25_45_17.txt,100,100,100.00,6.90357233,7.41893563,1164.54
inst25x25_45_23.txt,100,100,100.00,9.03823123,8.40664734,1514.25
inst25x25_45_2.txt,100,100,100.00,12.40015797,12.68521268,2187.41
inst25x25_45_19.txt,100,100,100.00,14.84685950,16.27694593,2640.42
inst25x25_45_15.txt,100,100,100.00,21.87077108,21.30464931,3808.66
inst25x25_45_21.txt,100,100,100.00,22.20042890,21.19109508,3725.88
inst25x25_45_32.txt,100,100,100.00,5.02545786,6.33280511,842.08
inst25x25_45_29.txt,100,100,100.00,10.82464664,11.29820587,1843.84
inst25x25_45_26.txt,100,100,100.00,13.81895800,12.95087791,2451.89
inst25x25_45_3.txt,100,100,100.00,16.53129645,15.34063642,2724.46
inst25x25_45_1.txt,100,93,93.00,31.15740565,28.35483237,5441.05
inst25x25_45_33.txt,100,100,100.00,9.29790023,9.37541185,1625.63
inst25x25_45_40.txt,100,100,100.00,3.43069769,4.56128665,590.54
inst25x25_45_36.txt,100,100,100.00,16.72987623,18.61862701,2856.13
inst25x25_45_41.txt,100,100,100.00,8.89239526,8.79334498,1534.12
inst25x25_45_37.txt,100,100,100.00,15.08487032,17.28311291,2599.88
inst25x25_45_4.txt,100,100,100.00,14.56192674,16.21725206,2606.88
inst25x25_45_34.txt,100,99,99.00,24.35717009,24.44721596,4316.14
inst25x25_45_46.txt,100,100,100.00,4.27377644,4.69473334,740.79
inst25x25_45_52.txt,100,100,100.00,4.11897826,5.82693680,702.32
inst25x25_45_51.txt,100,100,100.00,5.83206193,6.97097078,1045.59
inst25x25_45_56.txt,100,100,100.00,8.20027677,7.73005865,1438.20
inst25x25_45_54.txt,100,100,100.00,10.95842775,11.13740556,1902.72
inst25x25_45_35.txt,100,94,94.00,32.36186402,29.01918852,5922.77
inst25x25_45_58.txt,100,100,100.00,13.60327883,15.22349102,2488.94
inst25x25_45_59.txt,100,100,100.00,8.67297404,8.95551960,1478.42
inst25x25_45_57.txt,100,100,100.00,16.16480793,17.98577429,2806.74
inst25x25_45_62.txt,100,100,100.00,7.01415645,8.10668158,1274.25
inst25x25_45_65.txt,100,100,100.00,6.75910487,8.21517791,1136.77
inst25x25_45_6.txt,100,100,100.00,16.23626877,14.95986605,2856.14
inst25x25_45_24.txt,100,69,69.00,50.83308451,33.50665601,8849.48
inst25x25_45_64.txt,100,100,100.00,10.61531254,12.75867151,1813.46
inst25x25_45_67.txt,100,100,100.00,11.79821534,16.14197189,2009.73
inst25x25_45_71.txt,100,100,100.00,6.24219907,7.01327294,1012.26
inst25x25_45_73.txt,100,100,100.00,2.74910283,4.20448558,440.58
inst25x25_45_69.txt,100,100,100.00,11.34797089,12.45560866,1897.72
inst25x25_45_7.txt,100,100,100.00,11.18884341,11.10562319,1631.98
inst25x25_45_76.txt,100,100,100.00,5.39491822,7.20792818,667.05
inst25x25_45_75.txt,100,100,100.00,7.81303191,12.64091507,942.82
inst25x25_45_8.txt,100,100,100.00,6.13226728,7.56168079,765.14
inst25x25_45_83.txt,100,100,100.00,4.16634822,5.36243469,528.21
inst25x25_45_43.txt,100,78,78.00,35.98626508,30.46331070,6171.27
inst25x25_45_84.txt,100,100,100.00,7.16245248,7.01066830,952.78
inst25x25_45_87.txt,100,100,100.00,9.42592069,10.40798856,1207.80
inst25x25_45_72.txt,100,96,96.00,29.74419523,28.53681102,3931.40
inst25x25_45_88.txt,100,100,100.00,5.51898143,7.35303426,738.78
inst25x25_45_82.txt,100,98,98.00,26.34995687,28.84816510,3523.49
inst25x25_45_85.txt,100,100,100.00,22.01960451,23.71364176,2867.70
inst25x25_45_86.txt,100,100,100.00,20.88473633,18.95970967,2629.49
inst25x25_45_92.txt,100,100,100.00,3.01443103,3.98713722,409.61
inst25x25_45_96.txt,100,100,100.00,4.55415848,6.38664560,562.92
inst25x25_45_63.txt,100,76,76.00,45.89084359,35.36392350,6695.09
inst25x25_45_90.txt,100,100,100.00,15.73637429,15.81450778,1977.60
inst25x25_50_1.txt,100,100,100.00,0.84991822,1.48542247,144.51
inst25x25_50_11.txt,100,100,100.00,0.53400999,0.79737918,95.70
inst25x25_50_14.txt,100,100,100.00,0.82249794,1.00066457,160.04
inst25x25_50_16.txt,100,100,100.00,0.45286621,0.87570528,79.63
inst25x25_50_17.txt,100,100,100.00,1.84498454,2.49757296,334.16
inst25x25_45_99.txt,100,100,100.00,8.11555944,9.89006641,1044.75
inst25x25_50_21.txt,100,100,100.00,0.31245643,0.71254917,63.33
inst25x25_45_89.txt,100,99,99.00,25.99822632,25.68121174,3264.04
inst25x25_50_29.txt,100,100,100.00,1.68290566,2.40804125,269.56
inst25x25_50_26.txt,100,100,100.00,3.35750466,3.96632305,646.82
inst25x25_50_44.txt,100,100,100.00,0.77104243,1.25121110,130.32
inst25x25_50_18.txt,100,100,100.00,8.65138918,10.39902687,1538.01
inst25x25_50_34.txt,100,100,100.00,6.63721384,8.40208077,1033.32
