Instance File,Runs,Successes,Success Rate (%),Avg Time,Std Dev Time,Avg Cycles
16x16_02602.txt,100,100,100.00,0.44430364,0.48847110,215.45
16x16_02367.txt,100,100,100.00,0.23571999,0.61135362,121.67
16x16_02561.txt,100,100,100.00,0.03868989,0.10611661,23.73
16x16_02978.txt,100,100,100.00,0.05322677,0.14878273,27.03
16x16_02985.txt,100,100,100.00,0.30584377,0.50713172,152.10
16x16_02563.txt,100,100,100.00,0.16772441,0.37210007,92.45
16x16_02205.txt,100,100,100.00,0.09418938,0.20418258,53.25
16x16_02211.txt,100,100,100.00,0.08369017,0.24433160,52.54
16x16_02371.txt,100,100,100.00,0.33397917,0.54366642,181.33
16x16_02370.txt,100,100,100.00,0.02334006,0.09134856,15.36
16x16_02943.txt,100,100,100.00,0.01375425,0.02627176,13.03
16x16_02572.txt,100,100,100.00,0.21589054,0.52778822,121.69
16x16_02214.txt,100,100,100.00,0.05291547,0.10487553,34.46
16x16_02228.txt,100,100,100.00,0.24374298,0.46023050,134.02
16x16_02374.txt,100,100,100.00,0.11601098,0.39751858,63.20
16x16_02349.txt,100,100,100.00,0.90702593,1.30264531,427.29
16x16_02407.txt,100,100,100.00,0.03812760,0.14652159,25.72
16x16_02567.txt,100,100,100.00,0.04251696,0.11564639,25.80
16x16_02940.txt,100,100,100.00,0.05284784,0.14544391,32.66
16x16_02571.txt,100,100,100.00,0.08855440,0.23012759,45.37
16x16_02203.txt,100,100,100.00,0.10241502,0.50939732,57.18
16x16_02405.txt,100,100,100.00,1.67353623,2.09611987,799.25
16x16_02411.txt,100,100,100.00,0.13674108,0.28053797,78.42
16x16_02388.txt,100,100,100.00,0.24859427,0.47033028,153.53
16x16_02558.txt,100,100,100.00,0.22522288,0.44459037,139.46
16x16_02570.txt,100,100,100.00,0.37211012,0.41998466,183.47
16x16_02265.txt,100,100,100.00,0.00306977,0.00196703,2.54
16x16_02477.txt,100,100,100.00,0.07527586,0.17509408,43.48
16x16_02338.txt,100,100,100.00,0.02323491,0.03830205,17.26
16x16_02933.txt,100,100,100.00,0.01051960,0.04563512,7.52
16x16_02448.txt,100,100,100.00,0.38623496,0.50575652,212.33
16x16_02851.txt,100,100,100.00,0.55597865,0.84015456,310.82
16x16_02475.txt,100,100,100.00,0.05840712,0.20558298,34.30
16x16_02449.txt,100,100,100.00,0.00826565,0.03607109,5.56
16x16_02924.txt,100,100,100.00,0.05632995,0.26411248,33.55
16x16_02288.txt,100,100,100.00,0.09465023,0.13512471,56.78
16x16_02471.txt,100,100,100.00,0.09121548,0.20676393,54.24
16x16_02935.txt,100,100,100.00,0.01290608,0.03041010,11.38
16x16_02300.txt,100,100,100.00,0.03127091,0.07515965,21.27
16x16_02314.txt,100,100,100.00,0.03216234,0.06690928,20.56
16x16_02467.txt,100,100,100.00,0.14384396,0.40268523,90.07
16x16_02507.txt,100,100,100.00,0.10025988,0.22931524,61.80
16x16_02536.txt,100,100,100.00,0.04304331,0.16890439,26.90
16x16_02522.txt,100,100,100.00,0.26467143,0.38387191,139.88
16x16_02456.txt,100,100,100.00,0.05690698,0.21082012,31.52
16x16_02330.txt,100,100,100.00,0.05544811,0.17349269,34.93
16x16_02669.txt,100,100,100.00,0.24576628,0.56180744,132.96
16x16_02443.txt,100,100,100.00,0.47471315,0.55712046,253.22
16x16_02292.txt,100,100,100.00,0.19525014,0.36368546,109.73
16x16_02251.txt,100,100,100.00,0.01455555,0.03700346,10.75
16x16_02904.txt,100,100,100.00,0.14105733,0.26972712,76.00
16x16_02910.txt,100,100,100.00,0.12161171,0.23018385,69.55
16x16_02333.txt,100,100,100.00,0.00558926,0.00622953,4.55
16x16_02483.txt,100,100,100.00,0.18060843,0.30518566,102.34
16x16_02454.txt,100,100,100.00,0.27096523,0.46595682,150.86
16x16_02468.txt,100,100,100.00,0.09732363,0.23122114,53.14
16x16_02291.txt,100,100,100.00,0.00992767,0.01663916,8.11
16x16_02534.txt,100,100,100.00,0.00907399,0.01886861,8.83
16x16_02256.txt,100,100,100.00,0.16820284,0.26417285,90.21
16x16_02281.txt,100,100,100.00,0.04059717,0.13068339,26.29
16x16_02478.txt,100,100,100.00,0.00720883,0.02255218,5.98
16x16_02875.txt,100,100,100.00,0.10693376,0.29818577,54.26
16x16_02451.txt,100,100,100.00,0.06107577,0.14418106,40.90
16x16_02280.txt,100,100,100.00,0.06451655,0.15874502,36.51
16x16_02525.txt,100,100,100.00,1.06252039,1.71970049,533.74
16x16_02733.txt,100,100,100.00,0.08668235,0.23053863,53.87
16x16_02686.txt,100,100,100.00,0.67515843,0.77229168,343.44
16x16_02862.txt,100,100,100.00,0.64732333,1.23208171,331.03
16x16_02491.txt,100,100,100.00,0.01112189,0.02171998,10.40
16x16_02452.txt,100,100,100.00,0.08773680,0.19392414,53.71
16x16_02446.txt,100,100,100.00,0.00645180,0.02899091,4.70
16x16_02297.txt,100,100,100.00,0.08343785,0.17704853,49.56
16x16_02526.txt,100,100,100.00,0.62428851,0.99434876,321.23
16x16_02964.txt,100,100,100.00,0.08155473,0.27522761,45.74
16x16_02233.txt,100,100,100.00,0.20301647,1.02042641,110.39
16x16_02435.txt,100,100,100.00,0.05491434,0.07676025,32.94
16x16_02390.txt,100,99,99.00,2.57463268,3.48134585,1345.94
16x16_02623.txt,100,100,100.00,0.16253788,0.34093857,91.81
16x16_02971.txt,100,100,100.00,0.02856261,0.05618091,18.33
16x16_02756.txt,100,100,100.00,0.17704776,0.32081062,96.17
16x16_02973.txt,100,100,100.00,0.11685531,0.17778483,71.86
16x16_02230.txt,100,100,100.00,0.08038893,0.16498541,49.47
16x16_02436.txt,100,100,100.00,0.04764843,0.13253420,30.29
16x16_02350.txt,100,100,100.00,0.26831140,0.71457358,159.56
16x16_02379.txt,100,100,100.00,0.07439879,0.10547405,49.29
16x16_02755.txt,100,100,100.00,0.63616181,1.05954428,326.47
16x16_02779.txt,100,100,100.00,0.06211111,0.16515119,39.01
16x16_02590.txt,100,100,100.00,0.08798884,0.12866569,51.50
16x16_02355.txt,100,100,100.00,0.01840328,0.05761060,13.26
16x16_02383.txt,100,100,100.00,0.05372286,0.18248717,33.53
16x16_02354.txt,100,100,100.00,0.98046683,1.12682561,495.49
16x16_02234.txt,100,100,100.00,0.05901115,0.11894464,39.24
16x16_02778.txt,100,100,100.00,0.10821975,0.25906075,64.37
16x16_02544.txt,100,100,100.00,0.04020928,0.09882724,24.20
16x16_02418.txt,100,100,100.00,0.03952972,0.16348266,24.02
16x16_02395.txt,100,100,100.00,0.01185576,0.04665624,8.41
16x16_02357.txt,100,100,100.00,1.17336851,2.05323201,576.62
16x16_02223.txt,100,100,100.00,0.04600578,0.12409059,28.35
16x16_02237.txt,100,100,100.00,0.39098608,0.49300728,196.95
