Instance File,Runs,Successes,Success Rate (%),Avg Time,Std Dev Time,Avg Cycles
inst25x25_40_30.txt,100,50,200.00,1.02792142,1.46660446,151.40
inst25x25_40_80.txt,100,50,200.00,1.38150684,5.77655841,204.20
inst25x25_40_57.txt,100,49,196.00,0.77514633,1.07343707,113.33
inst25x25_40_99.txt,100,50,200.00,0.67517516,0.94590442,103.84
inst25x25_40_9.txt,100,50,200.00,2.98663238,14.16240654,449.58
inst25x25_40_89.txt,100,49,196.00,1.69226363,6.52075992,266.31
inst25x25_40_79.txt,100,50,200.00,6.08745476,21.19068989,921.96
inst25x25_40_50.txt,100,48,192.00,2.46828731,6.10020923,367.98
inst25x25_45_14.txt,100,50,200.00,2.70739538,8.39612961,541.76
inst25x25_40_10.txt,100,46,184.00,0.62092391,1.09478885,91.48
inst25x25_40_62.txt,100,47,188.00,4.58297355,9.62091565,701.11
inst25x25_45_11.txt,100,46,184.00,8.37846791,20.55072771,1725.48
inst25x25_45_17.txt,100,44,176.00,3.49208136,9.20978821,686.68
inst25x25_45_18.txt,100,46,184.00,4.13403852,11.33498687,817.80
inst25x25_45_16.txt,100,43,172.00,3.89507051,13.58907429,775.49
inst25x25_45_15.txt,100,43,172.00,12.62138698,23.82725150,2576.14
inst25x25_45_19.txt,100,42,168.00,9.70679019,20.49010936,2037.90
inst25x25_45_2.txt,100,45,180.00,10.11946209,24.12466311,2047.58
inst25x25_45_23.txt,100,40,160.00,4.47586355,10.13423819,865.65
inst25x25_45_21.txt,100,38,152.00,8.25397800,19.62368600,1595.79
inst25x25_45_26.txt,100,43,172.00,10.83658014,21.54533005,2244.67
inst25x25_45_29.txt,100,42,168.00,2.59614886,3.83602904,517.98
inst25x25_45_3.txt,100,43,172.00,7.16027507,18.07201001,1361.21
inst25x25_45_32.txt,100,43,172.00,4.68544881,10.87598373,914.00
inst25x25_45_33.txt,100,44,176.00,3.28070866,6.77623974,667.48
inst25x25_45_1.txt,100,20,80.00,15.58795515,24.93224284,3129.50
inst25x25_45_40.txt,100,48,192.00,2.07520712,6.05706287,415.81
inst25x25_45_24.txt,100,28,112.00,15.99100371,23.41885501,3271.64
inst25x25_45_37.txt,100,41,164.00,11.32671654,22.56742368,2198.61
inst25x25_45_41.txt,100,45,180.00,5.15336462,15.40935975,1023.47
inst25x25_45_36.txt,100,38,152.00,15.69022916,28.42366383,3111.92
inst25x25_45_52.txt,100,49,196.00,0.69526612,1.26262318,131.88
inst25x25_45_46.txt,100,46,184.00,1.84890487,5.25055997,379.89
inst25x25_45_35.txt,100,29,116.00,10.19990362,18.70576501,2196.93
inst25x25_45_51.txt,100,47,188.00,5.15292596,18.62319591,1117.94
inst25x25_45_4.txt,100,33,132.00,3.44233279,4.20858174,722.33
inst25x25_45_59.txt,100,47,188.00,2.15383334,5.11954199,421.34
inst25x25_45_56.txt,100,45,180.00,3.15498860,7.49017487,641.09
inst25x25_45_34.txt,100,22,88.00,8.53220445,13.50794656,1792.41
inst25x25_45_57.txt,100,44,176.00,8.75498193,17.96449517,1752.98
inst25x25_45_43.txt,100,32,128.00,19.50995925,26.47156360,4103.50
inst25x25_45_54.txt,100,38,152.00,12.43904416,27.30992368,2478.82
inst25x25_45_58.txt,100,39,156.00,6.70276231,19.05143392,1431.33
inst25x25_45_64.txt,100,47,188.00,3.86958383,10.81187579,769.72
inst25x25_45_62.txt,100,44,176.00,11.05945832,19.73390243,2389.25
inst25x25_45_71.txt,100,48,192.00,2.78321735,10.13790116,534.85
inst25x25_45_7.txt,100,48,192.00,4.84327390,10.26654906,946.15
inst25x25_45_73.txt,100,50,200.00,2.00689752,9.82619039,408.10
inst25x25_45_6.txt,100,39,156.00,11.68756336,24.86517414,2421.59
inst25x25_45_76.txt,100,49,196.00,1.47348135,6.31365360,297.90
inst25x25_45_67.txt,100,45,180.00,8.78654491,21.16533984,1748.87
inst25x25_45_65.txt,100,42,168.00,6.67130379,18.25448819,1295.17
inst25x25_45_75.txt,100,43,172.00,4.35992484,13.40973268,852.53
inst25x25_45_69.txt,100,37,148.00,7.02768054,18.38806758,1452.51
inst25x25_45_83.txt,100,48,192.00,4.85889265,16.90706211,982.50
inst25x25_45_72.txt,100,37,148.00,6.49112524,14.25937051,1276.16
inst25x25_45_84.txt,100,46,184.00,6.96252461,20.47947280,1426.61
inst25x25_45_8.txt,100,36,144.00,2.06256342,6.15608119,401.86
inst25x25_45_63.txt,100,18,72.00,9.50704422,21.87673974,1910.89
inst25x25_45_87.txt,100,47,188.00,2.96258004,9.90322434,588.45
inst25x25_45_86.txt,100,45,180.00,6.33611473,18.13580862,1215.36
inst25x25_45_85.txt,100,45,180.00,10.99363131,26.89737699,2191.53
inst25x25_45_82.txt,100,35,140.00,12.66140880,27.66297537,2617.66
inst25x25_45_88.txt,100,44,176.00,2.16344632,7.11202972,449.52
inst25x25_45_77.txt,100,33,132.00,17.35028694,31.18148092,3460.67
inst25x25_45_92.txt,100,47,188.00,1.90342666,4.70851698,405.94
inst25x25_45_90.txt,100,47,188.00,7.57560496,15.36283490,1488.91
inst25x25_45_96.txt,100,48,192.00,2.48051340,8.78739764,474.83
inst25x25_50_1.txt,100,47,188.00,7.12015757,23.77923199,1973.32
inst25x25_45_99.txt,100,44,176.00,8.74424616,25.15788663,1811.07
inst25x25_50_11.txt,100,44,176.00,3.45932716,13.84669228,1150.02
inst25x25_45_89.txt,100,38,152.00,8.11897561,20.55541392,1562.79
inst25x25_45_93.txt,100,38,152.00,8.38728713,14.82884591,1717.61
inst25x25_50_16.txt,100,48,192.00,0.77917944,2.46541724,216.17
inst25x25_50_21.txt,100,50,200.00,3.73820518,13.26735149,1344.06
inst25x25_50_14.txt,100,42,168.00,7.51086945,21.27346556,2624.48
inst25x25_50_29.txt,100,46,184.00,4.25803511,9.69576671,1128.04
